0,1,10,11,2,3,4,5,7,8,9,Primary Contact City,Program Start Date,Program Title,Program Tuition Fee,Semester Description,day,level,semester,time,type,year
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Central Islip,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
Beyond Beginner 202 Ceramics with Amy Tischler,6-9pm,,,2024,-10/17,,,Thurs,Fall,9/12,Bayville,2024-09-12,"['Beyond Beginner 202 Ceramics with Amy Tischler ', ' Thurs 6-9 pm ', ' Fall 2024', ' 9/12 - 10/17 ']",473.0,Fall 2024,Thursday,Beginner,Fall ,6-9pm,Pottery,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Plainview,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
Atelier Drawing and Painting with Bill Graf,10am-1pm,,,2024,,,,Saturdays,Fall,9/14-10/19,Huntington Station,2024-09-14,"['Atelier Drawing and Painting with Bill Graf ', ' Saturdays 10am-1pm ', ' Fall 2024', ' 9/14-10/19 ']",448.0,Fall 2024,Saturday,,Fall ,10am-1pm,Visual Arts,2024
Tues,Cartooning&RealisticDrawingwithLoriHochberg,Ages,9/12-10/17,,2024,8-12,,Creative,5:30-7:00pm,Fall,plainview,2024-09-10,"['Tues ', 'Creative Cartooning & Realistic Drawing with Lori Hochberg ', '5:30-7:00pm', ' Fall 2024', ' Ages 8-12 ', ' 9/12-10/17 ']",245.0,Fall 2024,Tuesday,,Fall ,5:30-7:00pm,Visual Arts,2024
Beyond Beginner 202 Ceramics with Amy Tischler,6-9pm,,,2024,-10/17,,,Thurs,Fall,9/12,North Bellmore,2024-09-12,"['Beyond Beginner 202 Ceramics with Amy Tischler ', ' Thurs 6-9 pm ', ' Fall 2024', ' 9/12 - 10/17 ']",473.0,Fall 2024,Thursday,Beginner,Fall ,6-9pm,Pottery,2024
Thursdays 2-5pm,Painting:AcrylicswithKevinLarkin,,,2024,,,,Abstract,Fall,9/12-10-17,Northport,2024-09-12,"['Thursdays 2-5pm', 'Abstract Painting: Acrylics with Kevin Larkin ', ' Fall 2024', ' 9/12-10-17 ']",430.0,Fall 2024,Thursday,,Fall ,Thursdays 2-5pm,Visual Arts,2024
The World of Watercolor with Ross Barbera,10am-1pm,,,2024,,,,Fri,Fall,9/13-10/18,Glen Head,2024-09-13,"['The World of Watercolor with Ross Barbera ', ' Fri 10am-1pm ', ' Fall 2024', ' 9/13-10/18 ']",430.0,Fall 2024,Friday,,Fall ,10am-1pm,Visual Arts,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,South Setauket,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
The World of Watercolor with Ross Barbera,10am-1pm,,,2024,,,,Fri,Fall,9/13-10/18,Dix Hills,2024-09-13,"['The World of Watercolor with Ross Barbera ', ' Fri 10am-1pm ', ' Fall 2024', ' 9/13-10/18 ']",430.0,Fall 2024,Friday,,Fall ,10am-1pm,Visual Arts,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,syosset,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Highland Beach,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Handbuilding - Plan to Technique with Laura Peters,1-4pm,,,2024,,,,Wed,Fall,9/11-10/16,Seaford,2024-09-11,"['Handbuilding - Plan to Technique with Laura Peters ', ' Wed 1-4pm ', ' Fall 2024', ' 9/11-10/16']",448.0,Fall 2024,Wednesday,,Fall ,1-4pm,Sculpture,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Deer Park,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Huntington Station,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Beginners 101 Ceramics with Amy Tischler,6-9pm,,,2024,-10/15,,,Tues,Fall,9/10,Melville,2024-09-10,"['Beginners 101 Ceramics with Amy Tischler ', ' Tues 6-9 pm ', ' Fall 2024', ' 9/10 - 10/15 ']",448.0,Fall 2024,Tuesday,Beginner,Fall ,6-9pm,Pottery,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Nesconset,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Fundamentals of Drawing with Liz Fusco,11:30am-1:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Nesconset,2024-09-10,"['Fundamentals of Drawing with Liz Fusco ', ' Tuesdays 11:30am-1:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,11:30am-1:30pm,Visual Arts,2024
Beyond Beginner 202 Ceramics with Amy Tischler,6-9pm,,,2024,-10/17,,,Thurs,Fall,9/12,syosset,2024-09-12,"['Beyond Beginner 202 Ceramics with Amy Tischler ', ' Thurs 6-9 pm ', ' Fall 2024', ' 9/12 - 10/17 ']",473.0,Fall 2024,Thursday,Beginner,Fall ,6-9pm,Pottery,2024
Beginners 101 Ceramics with Amy Tischler,6-9pm,,,2024,-10/15,,,Tues,Fall,9/10,Melville,2024-09-10,"['Beginners 101 Ceramics with Amy Tischler ', ' Tues 6-9 pm ', ' Fall 2024', ' 9/10 - 10/15 ']",448.0,Fall 2024,Tuesday,Beginner,Fall ,6-9pm,Pottery,2024
Beginners 101 Ceramics with Amy Tischler,6-9pm,,,2024,-10/15,,,Tues,Fall,9/10,Melville,2024-09-10,"['Beginners 101 Ceramics with Amy Tischler ', ' Tues 6-9 pm ', ' Fall 2024', ' 9/10 - 10/15 ']",448.0,Fall 2024,Tuesday,Beginner,Fall ,6-9pm,Pottery,2024
All Levels Ceramics with Ruth Lowenberg,9:30am-12:30pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Huntington,2024-09-12,"['All Levels Ceramics with Ruth Lowenberg ', ' Thursdays 9:30am - 12:30pm ', ' Fall 2024', ' 9/12-10/17 ']",448.0,Fall 2024,Thursday,All Levels,Fall ,9:30am-12:30pm,Pottery,2024
